symbol,name,price,priceChange,percentChange,exchangeName,exShortName,exchangeCode,marketPlace,sector,industry,volume,openPrice,dayHigh,dayLow,MarketCap,MarketCapAllClasses,peRatio,prevClose,dividendFrequency,dividendYield,dividendAmount,dividendCurrency,beta,eps,exDividendDate,shortDescription,longDescription,website,email,phoneNumber,fullAddress,employees,shareOutStanding,totalDebtToEquity,totalSharesOutStanding,sharesESCROW,vwap,dividendPayDate,weeks52high,weeks52low,alpha,averageVolume10D,averageVolume30D,averageVolume50D,priceToBook,priceToCashFlow,returnOnEquity,returnOnAssets,day21MovingAvg,day50MovingAvg,day200MovingAvg,dividend3Years,dividend5Years,datatype,__typename
VNP,5N Plus Inc.,1.98,0.03,1.538462,Toronto Stock Exchange,TSX,TSX,,Basic Materials,Chemicals,37826,1.97,1.98,1.94,162601838,163001970,33.5,1.95,,,,,0.789747,0.05,,5N Plus Inc is a Canadian based company producing specialty metal and chemical products. The company operates in two segments Electronic Materials and Eco-Friendly Materials.,"5N Plus Inc is a Canadian based company producing specialty metal and chemical products. The company operates in two segments Electronic Materials and Eco-Friendly Materials. The Electronic Materials segment manufactures and sells refined metals, compounds and alloys which are primarily used in a number of electronic applications. The Eco-Friendly Materials segment manufactures and sells refined bismuth and bismuth chemicals, low melting point alloys as well as refined selenium and selenium chemicals. The company operates manufacturing facilities and sales offices in Europe, America and Asia. It generates the majority of the revenue from Eco-Friendly Materials segment.",http://www.5nplus.com,invest@5nplus.com,+1 514 856-0644,"4385 Garand Street, Saint-Laurent, Montreal, QC, CA",601,82122140,0.51,82324227,,1.95986702,,2.55,1.01,0.009703,76148,54735.0,49592.0,1.037,4.2,3.05,1.55,1.81762,1.8673,1.83428,,,equity,Company
AW.UN,A&W Revenue Royalties Income Fund Trust Units,27.92,0.44,1.601164,Toronto Stock Exchange,TSX,TSX,,Consumer Cyclical,Restaurants,13441,27.55,28.17,27.55,392685671,392685671,14,27.48,Monthly,4.298,0.1,CAD,1.143881,1.97000002,2020-10-14 00:00:00.0,"A&W Revenue Royalties Income Fund is a limited purpose trust established to invest in A&W Trade Marks Inc, which through its ownership interest in A&W Trade Marks Limited Partnership owns the A&W...","A&W Revenue Royalties Income Fund is a limited purpose trust established to invest in A&W Trade Marks Inc, which through its ownership interest in A&W Trade Marks Limited Partnership owns the A&W trade-marks used in the A&W quick service restaurant business in Canada. The company has opened approximately 32 locations, bringing the total number of A&W restaurants to approximately 854, of which almost 845 are franchised and nine are owned and operated corporately. It has granted A&W Food Services of Canada Inc, a license to use the A&W trade-marks to market Root Beer in cans and bottles to the retail grocery trad as well as its acts as a franchisor of hamburger quick service restaurants in Canada.",http://www.awincomefund.ca,investorrelations@aw.ca,+1 604 988-2141,"300 - 171 West Esplanade, North Vancouver, BC, CA",,14064673,,14064673,,27.8653076,2020-10-30,39.65,16.75,0.00228,19743,19365.0,18247.0,2.602,10.7,-35.68,-0.92,27.66384,28.21206,29.49166,0.55,3.21,equity,Company
AAB,Aberdeen International Inc.,0.045,0.005,12.5,Toronto Stock Exchange,TSX,TSX,,Financial Services,Asset Management,82000,0.04,0.045,0.04,5042353,5042353,0.4,0.04,,,,,1.465355,0.109999999,,Aberdeen International Inc is a resource investment company and merchant bank. It focuses on small capitalization companies in the metals and mining sector.,Aberdeen International Inc is a resource investment company and merchant bank. It focuses on small capitalization companies in the metals and mining sector. The company seeks to acquire equity participation in pre-IPO and early stage public resource companies with undeveloped or undervalued high-quality resources.,http://www.aberdeeninternational.ca,dstein@aberdeeninternational.ca,+1 416 861-5882,"65 Queen Street West, Suite 815, P.O. Box 75, Toronto, ON, CA",10,112052282,0.02,112052282,,0.040060975,,0.095,0.015,-0.00403,106861,103319.0,138741.0,0.15,2.5,34.93,32.96,0.04595,0.0517,0.04345,,,equity,Company
ADN,Acadian Timber Corp.,15.7,-0.19,-1.195721,Toronto Stock Exchange,TSX,TSX,,Basic Materials,Forest Products,11429,15.9,15.9,15.5,261984582,261984582,38.8,15.89,Quarterly,7.389,0.29,CAD,0.93897,0.409999996,2020-09-29 00:00:00.0,Acadian Timber Corp is a Canada-based supplier of primary forest products in Eastern Canada and the Northeastern United States. The firm has approximately 2.,"Acadian Timber Corp is a Canada-based supplier of primary forest products in Eastern Canada and the Northeastern United States. The firm has approximately 2.4 million acres of land under management, Acadian timberland is the operators in New Brunswick and Maine. It generates a majority of its revenue from New Brunswick. The company's product includes softwood and hardwood sawlogs, pulpwood and biomass by-products.",http://www.acadiantimber.com,kwhite@acadiantimber.com,+1 604 661-9143,"1055 West Georgia Street, Suite 1800, PO Box 11179, Vancouver, BC, CA",78,16686916,0.38,16686916,,15.6522727,2020-10-15,18.62,11.11,9.4e-05,9601,8441.0,8736.0,0.916,1239.4,2.36,1.37,16.02248,16.12304,14.72942,2.58,5.48,equity,Company
ACD,Accord Financial Corp.,5.49,0.06,1.104972,Toronto Stock Exchange,TSX,TSX,,Financial Services,Credit Services,150,5.49,5.49,5.49,47153133,46988433,46.1,5.43,Quarterly,3.643,0.05,CAD,2.040077,0.119999997,2020-08-13 00:00:00.0,Accord Financial Corp is a provider of asset-based financial services to businesses.,"Accord Financial Corp is a provider of asset-based financial services to businesses. Its asset-based financial services include asset-based lending, including factoring, lease financing, working capital financing, credit protection and receivables management, and supply chain financing for importers. The company's revenue comprises interest, including discount fees, and factoring commissions from the company's asset-based financial services, including factoring and leasing, and is measured at the fair value of the consideration received. The group has a business presence in the United States and Canada.",https://www.accordfinancial.com,sadair@accordfinancial.com,+1 800 967-0015,"40 Eglinton Avenue East, Suite 602, Toronto, ON, CA",189,8588913,2.66,8558913,,5.49,2020-09-01,10.15,3.51,-0.007397,647,1199.0,1543.0,0.517,0.6,1.13,0.27,5.65571,5.84245,6.64641,-1.94,-0.18,equity,Company
AT,AcuityAds Holdings Inc.,4.12,0.08,1.980198,Toronto Stock Exchange,TSX,TSX,,Communication Services,Interactive Media,1017638,4.15,4.21,4.03,205333867,204429378,,4.04,,,,,1.932351,-0.009999999,,AcuityAds Holdings Inc is active in the technology sector based in the United States. Its business includes the provision of a web-based platform for advertisers to connect to their end-users.,"AcuityAds Holdings Inc is active in the technology sector based in the United States. Its business includes the provision of a web-based platform for advertisers to connect to their end-users. The programmatic marketing platform includes Acuity's machine learning technology that uses data for real-time advertising on social media. It caters mainly to small to mid-sized businesses. It also distributes its products in Canada, Europe, Middle-East, and Africa.",http://www.acuityads.com,,+1 416 218-9888,"181 Bay Street, Brookfield Place, Suite 320, Bay Wellington Tower, Toronto, ON, CA",168,49838317,1.92,49618781,0.0,4.12029648,,4.23,0.72,0.039241,736950,656918.0,506513.0,15.846,11.6,-5.53,-1.26,3.51429,2.7648,1.6376,,,equity,Company
DRX,ADF Group Inc. Subordinate Voting Shares,1.12,0.0,0.0,Toronto Stock Exchange,TSX,TSX,,Industrials,Industrial Products,7100,1.12,1.12,1.11,20487151,36551431,,1.12,Semi-Annual,1.786,0.01,CAD,1.370654,-0.07,2020-09-29 00:00:00.0,"ADF Group Inc involves in the design and engineering of connections, fabrication, including industrial coating, and the installation of steel structures and steel built-ups, as well as miscellaneous...","ADF Group Inc involves in the design and engineering of connections, fabrication, including industrial coating, and the installation of steel structures and steel built-ups, as well as miscellaneous and architectural metalwork. The company's products and services intended for the five principal segments of the non-residential construction industry: Office towers and high-rises, Commercial and recreational buildings, Airport facilities, Industrial complexes, and Transport infrastructures. It serves the client base in the non-residential construction industry, such as general contractors, project owners, engineering firms and project architects, and other steel structure fabricators. The company operates in the United States and Canada.",https://www.adfgroup.com,infos@adfgroup.com,+1 450 965-1911,"300, rue Henry-Bessemer, Terrebonne, QC, CA",568,18292099,0.32,32635206,,1.11704225,2020-10-16,1.45,0.55,-0.009011,17130,8741.0,6597.0,0.377,1.8,-1.96,-1.04,1.18254,1.12476,1.05521,0,0,equity,Company
AAV,Advantage Oil & Gas Ltd.,1.93,0.11,6.043956,Toronto Stock Exchange,TSX,TSX,,Energy,Oil & Gas,574765,1.85,1.96,1.82,362020414,363057699,,1.82,,,,,2.243212,-1.69000005,,Advantage Oil & Gas Ltd is an intermediate natural gas and liquids development and production company based out of Canada.,Advantage Oil & Gas Ltd is an intermediate natural gas and liquids development and production company based out of Canada. It operates a portion of assets located in the Montney resource play in Western Canada. Development and delineation is the company's primary focus with delineation conducted through drilling and testing wells throughout the Montney.,http://www.advantageog.com,ir@advantageog.com,+1 403 718-8000,"440 - 2 Avenue SW, Suite 2200, Calgary, AB, CA",38,187575344,0.34,188112797,,1.9085479,,2.94,0.98,-0.02011,574943,865004.0,785006.0,0.351,3,-26.06,-18.72,1.7981,1.9148,1.94405,,,equity,Company
ARE,Aecon Group Inc.,14.5,0.34,2.40113,Toronto Stock Exchange,TSX,TSX,,Industrials,Construction,182437,14.24,14.51,14.21,868228274,868206452,19.3,14.16,Quarterly,4.414,0.16,CAD,0.893214,0.730000019,2020-09-21 00:00:00.0,Aecon Group Inc is a Canada-based company that operates in two major segments: Construction and Concessions.,"Aecon Group Inc is a Canada-based company that operates in two major segments: Construction and Concessions. The Construction segment includes various aspects of the construction of public and private infrastructure projects, mainly in the transportation sector. Its concessions segment is primarily engaged in the development, financing, construction, and operation of infrastructure projects. Aecon generates the majority of its revenue from the Construction segment.",http://www.aecon.com,aecon@aecon.com,+1 416 297-2600,"20 Carlson Court, Suite 800, Toronto, ON, CA",5158,59877812,0.98,59876307,,14.3751807,2020-10-02,19.32,10.94,0.002261,258074,263226.0,280080.0,1.08,5.5,5.46,1.45,13.8701,14.13699,14.75987,6.68,8.42,equity,Company
AEG,Aegis Brands Inc.,1.0,0.06,6.382979,Toronto Stock Exchange,TSX,TSX,,Consumer Cyclical,Restaurants,3801,0.97,1.0,0.97,22916028,20394959,,0.94,,,,,0.735179,-0.449999988,,Aegis Brands Inc is a Canadian specialty food and beverage retailer company operating across Canada. The company owns and operates the Second Cup Coffee Co.,Aegis Brands Inc is a Canadian specialty food and beverage retailer company operating across Canada. The company owns and operates the Second Cup Coffee Co. specialty coffee business as part of a portfolio of brands that also includes Bridgehead and Hemisphere Cannabis Co.,https://www.aegisbrands.ca,investor@secondcup.com,+1 905 362-1827,"5915 Airport Road, Suite 630, Mississauga, ON, CA",351,22916028,2.55,20394959,,0.976,,1.76,0.7,-0.005809,8128,10054.0,10303.0,0.685,15.5,-28.08,-7.62,0.91143,0.9154,1.0725,,,equity,Company
